id,created_at,favorited,retweeted,user_name,user_id,mentions,hts,is_retweet,original_id,original_created_at,original_user_name,original_user_id,full_text,favorite_count,retweet_count
1233967991647297537,Sun Mar 01 04:11:09 +0000 2020,False,False,Violeta,885942809244704769,ohsamaisalive,,True,1233965987315187713,Sun Mar 01 04:03:12 +0000 2020,GORILONA 💜,1011748417,"Argentinopla, día 82. Asesinatos sin freno, las soluciones no aparecen, la ministra de seguridad, ausente, sólo hace propaganda de Tecnópolis y un satélite, el presidente tuitea noticias fakes. Ni bolsillos con plata ni heladeras llenas #TucumanSeDesangra #Tucuman #ElPeorGobierno https://t.co/ScSy8KiPae",52,53
1233967980461072384,Sun Mar 01 04:11:07 +0000 2020,False,False,RODRIGUEZKA,2411324736,FelipePigna,,True,1233929478738411521,Sun Mar 01 01:38:07 +0000 2020,Felipe Pigna,79556841,Muchas gracias a toda la querida gente que nos acompañó esta noche en Tecnopolis https://t.co/jlseXT7OoF,430,46
1233967080506040320,Sun Mar 01 04:07:32 +0000 2020,False,False,Gaston Fuentealba,1143116900957872128,TecnopolisArg,Tecnópolis,True,1233935966399860736,Sun Mar 01 02:03:54 +0000 2020,Tecnópolis,299896959,"El ciclo de Atardeceres en #Tecnópolis va llegando a su fin y nos deja un sabor a ternura y esperanza. Este domingo 1° de Marzo desde las 18 y hasta las 23, nace la campaña #NosotrasMovemosElMundo. ¡Te esperamos con los brazos abiertos!  #ArgentinaUnida https://t.co/AJimOwUKY4",89,34
1233967077922308101,Sun Mar 01 04:07:32 +0000 2020,False,False,#SoyDel41% 🐱,1928259852,ohsamaisalive,,True,1233965987315187713,Sun Mar 01 04:03:12 +0000 2020,GORILONA 💜,1011748417,"Argentinopla, día 82. Asesinatos sin freno, las soluciones no aparecen, la ministra de seguridad, ausente, sólo hace propaganda de Tecnópolis y un satélite, el presidente tuitea noticias fakes. Ni bolsillos con plata ni heladeras llenas #TucumanSeDesangra #Tucuman #ElPeorGobierno https://t.co/ScSy8KiPae",52,53
1233966077639634945,Sun Mar 01 04:03:33 +0000 2020,False,False,LAURANA MALACALZA,2365648602,MinGenerosAR,NosotrasMovemosElMundo,True,1233147844883894278,Thu Feb 27 21:52:11 +0000 2020,"Ministerio de las Mujeres, Géneros y Diversidad",1207713682718969856,¡No falta nada! Este domingo arranca la semana de #NosotrasMovemosElMundo. Sumate a las actividades:   📌 1 de marzo en @TecnopolisArg. 18 a 23 hs. 📌 4 al 7 de marzo en @elCCKirchner. 13 a 20 hs.  Conocé la propuesta y toda la agenda acá 👉 https://t.co/kndCLWfY2D https://t.co/naYNp7EA2F,209,74
1233965688257236996,Sun Mar 01 04:02:00 +0000 2020,False,False,Tecnópolis,299896959,FelipePigna,,True,1233929478738411521,Sun Mar 01 01:38:07 +0000 2020,Felipe Pigna,79556841,Muchas gracias a toda la querida gente que nos acompañó esta noche en Tecnopolis https://t.co/jlseXT7OoF,430,46
1233895460215103493,Sat Feb 29 23:22:57 +0000 2020,False,False,Edgardo Esteban,153243461,Felipe,,False,1233895460215103493,Sat Feb 29 23:22:57 +0000 2020,Edgardo Esteban,153243461,Encuentro con amigos @felipe.pigna y @dsztajnszrajber                               Otra tarde mágica en Tecnopolis! Aguante la filosofía e historia!!! https://t.co/ECOHPdwpbN,14,4
1233965156218163200,Sun Mar 01 03:59:53 +0000 2020,False,False,gustavo noya,883808683230101504,EstebanEdgardo Felipe,,True,1233895460215103493,Sat Feb 29 23:22:57 +0000 2020,Edgardo Esteban,153243461,Encuentro con amigos @felipe.pigna y @dsztajnszrajber                               Otra tarde mágica en Tecnopolis! Aguante la filosofía e historia!!! https://t.co/ECOHPdwpbN,14,4
1233965121506095105,Sun Mar 01 03:59:45 +0000 2020,False,False,Elvi,713793057062318080,FelipePigna,,True,1233929478738411521,Sun Mar 01 01:38:07 +0000 2020,Felipe Pigna,79556841,Muchas gracias a toda la querida gente que nos acompañó esta noche en Tecnopolis https://t.co/jlseXT7OoF,430,46
1233965096726122503,Sun Mar 01 03:59:39 +0000 2020,False,False,Cultura Nación,216106179,FelipePigna,,True,1233929478738411521,Sun Mar 01 01:38:07 +0000 2020,Felipe Pigna,79556841,Muchas gracias a toda la querida gente que nos acompañó esta noche en Tecnopolis https://t.co/jlseXT7OoF,430,46
